year,name,age,sex,genotype,value
2020,cancers,0,female,total,0
2020,cancers,15,female,total,26
2020,cancers,20,female,total,50
2020,cancers,25,female,total,524
2020,cancers,30,female,total,1297
2020,cancers,35,female,total,2656
2020,cancers,40,female,total,3907
2020,cancers,45,female,total,5208
2020,cancers,50,female,total,5880
2020,cancers,55,female,total,5576
2020,cancers,60,female,total,4614
2020,cancers,65,female,total,2973
2020,cancers,70,female,total,1905
2020,cancers,75,female,total,1151
2020,cancers,80,female,total,595
2020,cancers,85,female,total,255
